TransactionID,TransactionAmount,TransactionHour,DayOfWeek,UserAge,UserLocation,DeviceType,PaymentMethod,AccountAge,TransactionFrequency,IsInternational,PreviousFraudHistory,IsFraud
TXN000000,213.25,20,4,45,BR,Tablet,PayPal,2003,1,0,0,0
TXN000001,120.56,17,6,49,CN,Desktop,PayPal,631,5,0,0,0
TXN000002,104.89,21,6,74,NG,Desktop,Debit Card,1482,2,0,0,0
TXN000003,140.07,21,5,53,IN,Mobile,Bank Transfer,727,4,0,0,0
TXN000004,157.93,20,1,72,BR,Mobile,Credit Card,619,4,0,0,0
TXN000005,118.36,8,5,24,DE,Mobile,Bank Transfer,3243,5,1,0,0
TXN000006,120.37,10,3,26,FR,Desktop,Debit Card,1737,5,0,0,0
TXN000007,958.58,3,3,25,VN,Mobile,Credit Card,101,15,1,0,1
TXN000008,436.17,10,3,74,NG,Mobile,PayPal,3009,4,0,0,0
TXN000009,164.99,14,1,19,IN,Tablet,PayPal,2434,5,0,0,0
TXN000010,109.23,21,3,65,IN,Mobile,Debit Card,1186,4,0,0,0
TXN000011,19.44,17,5,26,IN,Mobile,Bank Transfer,2010,3,0,0,0
TXN000012,568.47,15,3,49,BR,Mobile,Debit Card,1363,1,0,0,0
TXN000013,416.18,18,4,70,UK,Mobile,Credit Card,1002,5,0,0,0
TXN000014,385.27,16,1,25,RU,Mobile,Debit Card,2905,1,0,0,0
TXN000015,263.54,18,2,22,RU,Mobile,Debit Card,406,2,0,0,0
TXN000016,99.16,9,5,65,US,Desktop,Bank Transfer,2069,5,0,0,0
TXN000017,142.46,17,4,49,RU,Mobile,Debit Card,2468,2,1,0,0
TXN000018,141.89,8,6,64,BR,Mobile,Crypto,2553,2,1,0,0
TXN000019,34.52,13,5,71,UK,Tablet,Crypto,1217,5,1,0,0
TXN000020,64.64,14,6,53,DE,Desktop,Crypto,3176,1,0,0,0
TXN000021,324.66,7,0,35,FR,Desktop,Credit Card,586,6,0,1,0
TXN000022,443.19,16,0,66,VN,Mobile,Debit Card,163,4,0,0,0
TXN000023,178.98,9,4,59,US,Mobile,Debit Card,1435,7,0,0,0
TXN000024,72.26,18,2,47,FR,Mobile,Crypto,2914,1,0,0,0
TXN000025,73.59,19,1,61,IN,Mobile,Debit Card,1848,1,0,0,0
TXN000026,124.11,17,4,57,US,Mobile,Debit Card,225,1,0,0,0
TXN000027,563.5,17,0,47,BR,Mobile,Credit Card,343,4,1,0,0
TXN000028,108.49,8,6,52,UK,Mobile,Credit Card,2223,4,1,0,0
TXN000029,290.17,16,4,52,BR,Mobile,PayPal,1646,2,0,0,0
TXN000030,730.69,9,5,59,NG,Mobile,Credit Card,3424,4,1,0,0
TXN000031,45.87,15,0,50,IN,Desktop,Credit Card,1929,4,0,0,0
TXN000032,62.29,10,3,20,BR,Desktop,Bank Transfer,2771,2,0,0,0
TXN000033,148.3,11,2,28,NG,Mobile,Crypto,2099,1,0,0,0
TXN000034,120.23,11,1,41,FR,Mobile,Credit Card,1214,5,0,0,0
TXN000035,137.9,14,3,25,NG,Desktop,Credit Card,3110,2,0,0,0
TXN000036,820.36,0,3,27,DE,Mobile,Crypto,61,13,0,0,1
TXN000037,361.48,11,4,72,UK,Mobile,Debit Card,1573,1,0,0,0
TXN000038,50.51,11,0,27,DE,Mobile,Credit Card,1189,5,1,0,0
TXN000039,1073.68,18,1,41,US,Tablet,Debit Card,50,5,0,0,0
TXN000040,107.34,10,1,71,UK,Desktop,Debit Card,1157,2,1,0,0
TXN000041,104.36,20,5,63,IN,Desktop,Bank Transfer,3140,7,0,0,0
TXN000042,30.98,9,6,19,NG,Mobile,PayPal,397,3,0,0,0
TXN000043,280.29,18,5,48,US,Mobile,Credit Card,2471,4,0,0,0
TXN000044,72.56,8,4,31,BR,Mobile,PayPal,2782,3,1,0,0
TXN000045,128.54,8,6,51,BR,Mobile,PayPal,603,3,0,0,0
TXN000046,48.6,20,2,31,CN,Desktop,Bank Transfer,1085,1,0,0,0
TXN000047,304.18,9,0,34,BR,Mobile,Debit Card,1378,1,1,0,0
TXN000048,84.74,15,3,56,FR,Mobile,PayPal,1401,2,0,0,0
TXN000049,191.86,11,1,31,DE,Mobile,Debit Card,2107,4,0,0,0
TXN000050,160.36,15,6,32,VN,Mobile,Credit Card,1343,6,0,0,0
TXN000051,589.19,11,4,25,US,Desktop,Credit Card,2736,2,0,0,0
TXN000052,206.85,11,5,19,IN,Desktop,Crypto,304,2,0,0,0
TXN000053,217.46,14,1,32,VN,Desktop,Crypto,2496,1,0,0,0
TXN000054,177.08,14,2,46,RU,Mobile,Debit Card,482,1,0,0,0
TXN000055,233.16,22,0,23,FR,Mobile,Credit Card,68,15,0,1,1
